session#,TimeInSession,RT
0,5.288502646216127,637.687241766554
0,290.32168977242657,516.4564466141996
1,119.09028573832785,525.7005563116763
1,273.44049629123543,654.368341709187
4,269.42910400151504,611.0882667112492
1,272.54371761421294,549.741585491688
1,277.6475281641784,561.3015725574542
1,281.3160935786418,625.3634190633193
2,149.18081455514903,598.5545227341618
2,191.40716229178088,515.4061343673675
2,222.75613208348398,525.454261401137
3,95.66963351942422,666.5699694228806
3,105.4349425965097,769.1846778000127
3,129.5996614493913,527.859987079637
3,221.92278599053384,624.8673618658813
4,183.8887120863851,514.3501379570807
4,202.26384708440855,656.8369235417322
0,98.77124198399898,603.0495848460902
0,187.2795368308525,691.0546189320144
1,142.65082887620218,515.6773151007314
1,196.94272417793337,664.1750908379436
2,251.53890441096848,633.0679964196406
2,286.17762044649714,637.1089848718157
3,131.88373710862152,591.451022467254
3,213.08685059685786,585.1374773503721
3,233.97981425939224,605.0737842133458
0,191.9813844030379,505.4272032177778
0,225.1413855224441,538.585385683632
1,166.788860893613,559.5284813815624
1,195.29685674060977,519.3010700903642
1,292.926186619894,516.2043891106123
2,187.16047079733085,551.1973905730656
2,231.01198193371488,520.9594178088537
2,254.15008320878917,578.8626083952977
3,195.73471271989138,656.7022137196545
4,67.8596609010201,501.7413059028968
4,136.48032965049333,514.3235535501844
0,32.908542389313595,516.2702383952507
0,112.23269292773443,644.8490341185646
1,62.328662951756996,506.45541787423554
1,160.85962050348667,521.7164939217582
1,202.82107761247266,527.0120972505765
2,26.697607211400623,509.1600522932822
2,187.88732133923304,511.3722703054009
3,73.83639155722699,539.3003346559908
3,191.75944510032582,544.3229792642796
3,220.7422778990483,549.1150056263905
3,238.58792437494503,594.8202206145652
4,101.62767024364075,523.6467119796089
4,253.23439809616957,583.2581609740828
1,66.29141293845589,530.9464457220656
1,166.91268323814063,519.8464218930212
3,99.19349130264709,629.4955485948321
3,249.66761080064248,565.1605887171627
3,267.06798072187917,625.2214756682406
4,59.760025400112,526.459816411716
4,122.72063335868006,532.5849909263525
0,199.40829936403549,546.5906763291741
0,287.50270973483794,519.8903601030338
0,297.95895344895723,540.6969001740549
2,207.2914827128053,547.9376910185465
2,256.0558054232563,545.57398144118
3,75.76808624853584,592.2113608771724
3,117.2253110592967,833.7621316513832
3,290.71772454579695,511.14424481966125
4,236.52154671893504,529.8158616496949
0,166.57685965291094,530.6044127013934
1,203.87334291775323,637.3949194593251
2,117.2801577939357,645.7885888814872
3,182.19631891863128,509.9748887073474
4,140.62635051213397,542.1948438277013
4,195.51356674676845,942.7335321922783
4,215.0038335022075,641.850812527764
0,178.37830730969907,595.8217467668021
